,default,onelevup,onelevdown,highspread,widespread,narrowspread
2022.041667,0.115568459,0.118089224,0.120529784,0.120558819,0.158044514,0.088955096
2022.125,0.114492412,0.117263759,0.119231139,0.119389274,0.15789636,0.08890059
2022.208333,0.112510379,0.115029895,0.117493586,0.117520365,0.156500817,0.088949231
2022.291667,0.109535443,0.11210083,0.114336025,0.114424003,0.150257123,0.088068256
2022.375,0.108037884,0.109836312,0.113231298,0.112940709,0.143708335,0.087599657
2022.458333,0.105486295,0.106527778,0.111296237,0.110603546,0.13927712,0.085850588
2022.541667,0.103517965,0.104605463,0.109581407,0.108883037,0.137311934,0.083622978
2022.625,0.102386686,0.103823744,0.108274897,0.107753648,0.136257277,0.081370649
2022.708333,0.100512782,0.101932481,0.106350042,0.105816967,0.136192861,0.078976333
2022.791667,0.098411332,0.100101651,0.103841112,0.103475902,0.137375217,0.077632855
2022.875,0.097512334,0.099668269,0.102339245,0.102249532,0.137121885,0.077425971
2022.958333,0.097320093,0.099972444,0.101366148,0.101588438,0.135244729,0.076449392
2023.041667,0.099237138,0.101402202,0.103516605,0.103528524,0.135685329,0.076495271
2023.125,0.09811437,0.100492895,0.102196631,0.102317678,0.135282934,0.076296461
2023.208333,0.096215808,0.098375727,0.100500098,0.10050774,0.133808022,0.076180885
2023.291667,0.093471933,0.095667925,0.097591838,0.097653176,0.128199083,0.075265465
2023.375,0.09199609,0.093529362,0.096437948,0.096174831,0.122348286,0.074699323
2023.458333,0.089622768,0.090506021,0.09457599,0.093973122,0.118312473,0.073043039
2023.541667,0.087750739,0.088668894,0.092904683,0.092297234,0.116377131,0.070984343
2023.625,0.0865872,0.087802309,0.091582129,0.09112245,0.115208988,0.068911204
2023.708333,0.084794042,0.08599381,0.089735997,0.089269089,0.11486963,0.066723025
2023.791667,0.082812488,0.084239545,0.087400093,0.087082529,0.115577765,0.065426038
2023.875,0.081852939,0.08365788,0.085914424,0.085831641,0.115069025,0.065082881
2023.958333,0.081475376,0.083691656,0.084869291,0.085050963,0.113196697,0.064090402
2024.041667,0.082853663,0.084655727,0.086430365,0.086442036,0.113254693,0.063954096
2024.125,0.081686139,0.083662163,0.085085311,0.085193224,0.112599116,0.06360968
